objectid,location_name,location_address,address_line__2,city,state,zip_code,county,regionsize,matchscore,latitude,longitude,matchtype,location_type,accepts_snap,organization,co_sponsor,type,frequency,day,times,year_round_or_dates,description,eligibility_requirements,eligibility_requirement,no_photo_id_required,no_registration_required,restricted_access_only_members_o,age_restrictions_for_children_or,age_restrictions_for_seniors_onl,income_maximum_for_eligibility,delivery_available,prepared_meals,grocery_items,fresh_produce,languages_spoken_other_than_engl,other_services_provided_diapers,other_services_provided_baby_for,other_services_provided_financia,other_services_provided_clothing,other_services_provided,metro,bus,store_type,loctype_fresh
7052,Giant Food 745,13043 Lee Jackson Memorial Hwy,,Fairfax,VA,22033,FAIRFAX,6004.603,98.99408,38.880718,-77.397232,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7054,Safeway  1283,8646 Richmond Hwy,,Alexandria,VA,22309,FAIRFAX,3925.7339,98.99408,38.722588,-77.121239,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7055,Safeway  878,7900 Fort Hunt Rd,,Alexandria,VA,22308,FAIRFAX,7995.0781,96,38.743599,-77.057526,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7056,Safeway  4933,6244 Old Dominion Dr,,McLean,VA,22101,FAIRFAX,19844.021,100,38.920029,-77.150864,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7062,Safeway  1285,6130 Rose Hill Dr,,Alexandria,VA,22310,FAIRFAX,2343.9382,98.99408,38.784603,-77.120964,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7064,Safeway  1588,7414 Little River Tpke,,Annandale,VA,22003,FAIRFAX,7516.251,100,38.83123,-77.200394,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7070,Ft Myers Commissary 2518,523 Carpenter Rd,,Fort Myer,VA,22211,ARLINGTON,4533965.5,60,38.886948,-77.078209,Relaxed;Soundex,SNAP-retailer,1,,,Misc,,,,,,,,,,,,,,,,,0,,,,,,,,,Misc,SNAP-retailer without fresh produce
7073,Safeway  1304,7397 Lee Hwy,,Falls Church,VA,22042,FAIRFAX,7840.9141,96,38.875225,-77.198669,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7074,Giant Food 231,2932 Chain Bridge Rd,,Oakton,VA,22124,FAIRFAX,6219.2002,100,38.881512,-77.300095,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7082,Giant Food 229,8074 Rolling Rd,,Springfield,VA,22153,FAIRFAX,10763.034,98.99408,38.73922,-77.211433,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
7862,"H Mart Herndon,Llc",1228 Elden St,,Herndon,VA,20170,FAIRFAX,29451.539,96,38.962364,-77.400574,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
8703,1St Variety Mart Llc,5820 Seminary Rd,Ste K,Falls Church,VA,22041,FAIRFAX,8436.9521,96,38.847382,-77.127777,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
8765,Giant Food 2741,10653 Braddock Rd,,Fairfax,VA,22032,FAIRFAX,12186.937,98.99408,38.826511,-77.314598,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
9156,Ali Baba Groceries And Halal Meat,6701 Richmond Hwy,Ste 104,Alexandria,VA,22306,FAIRFAX,2278.3428,96,38.772911,-77.080406,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
9530,Arlington Mill Farmers Market,909 S Dinwiddie St,,Arlington,VA,22204,ARLINGTON,2260.2388,100,38.85667,-77.11264,Exact,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
10321,Tiger Market & Bakery,3903 Mount Vernon Ave,,Alexandria,VA,22305,ALEXANDRIA,1969.369,100,38.841312,-77.063217,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
10983,Target Store 3210,1500 Wilson Blvd,,Rosslyn,VA,22209,ARLINGTON,4595.1108,96,38.894348,-77.074356,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
11778,Bangla Bazar,5149 Lee Hwy,,Arlington,VA,22207,ARLINGTON,3334.8015,100,38.896427,-77.13224,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
13489,Lorton Farmers Market/Arcadia Foods Inc,8990 Lorton Station Blvd,,Lorton,VA,22079,FAIRFAX,196080.86,96,38.719219,-77.207542,Relaxed,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
14024,Giant Food 748,2901-11 S Glebe Rd,,Arlington,VA,22206,ARLINGTON,14538.319,96.633133,38.845398,-77.068916,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
14025,Giant Food 771,3115 Lee Hwy,,Arlington,VA,22201,ARLINGTON,16184.268,100,38.896622,-77.096313,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
14027,Safeway  764,2500 N Harrison St,,Arlington,VA,22207,ARLINGTON,9272.666,100,38.896851,-77.13942,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
14028,Safeway  1358,5101 Wilson Blvd,,Arlington,VA,22205,ARLINGTON,9480.2383,100,38.878052,-77.123154,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
14051,Giant Food 2742,621 E Glebe Rd,,Alexandria,VA,22305,ALEXANDRIA,795.50037,95.857986,38.840275,-77.067528,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
14052,Safeway  866,500 S Royal St,,Alexandria,VA,22314,ALEXANDRIA,2875.1174,100,38.80006,-77.044518,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
14362,Bestway Va Super Market,3109 Graham Rd,,Falls Church,VA,22042,FAIRFAX,5484.1108,98.99408,38.865627,-77.194778,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
14657,Harris Teeter 279,6351 Columbia Pike,,Falls Church,VA,22041,FAIRFAX,7006.2749,98.99408,38.83725,-77.155785,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
14758,Giant Food 2747,6200 Little River Tpke,,Alexandria,VA,22312,FAIRFAX,92097.664,96,38.818962,-77.14093,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
15975,Arlington Grocery,2524 Columbia Pike,,Arlington,VA,22204,ARLINGTON,2117.2656,97.928993,38.863152,-77.08432,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
16460,Super Giant 0774,2501 9th Rd S,,Arlington,VA,22204,ARLINGTON,6433.0645,94.08284,38.864647,-77.08461,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
19477,La Mart 3,6711 Bland St,,Springfield,VA,22150,FAIRFAX,2881.4167,100,38.780773,-77.182907,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
20098,Mt Vernon Farmers Market/Arcadia Foods Inc,2501 Sherwood Hall Ln,,Alexandria,VA,22306,FAIRFAX,17149.842,96,38.743271,-77.075432,Relaxed,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
20177,Eden Supermarket 1,6763 Wilson Blvd.,,Falls Church,VA,22044,FAIRFAX,5897331,60,38.856209,-77.157021,Relaxed;Soundex,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
20727,R.K. Market,1611 Washington Plz,,Reston,VA,20190,FAIRFAX,51.898186,100,38.968964,-77.340866,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
21002,Giant Food 261,3131 Duke St,,Alexandria,VA,22314,ALEXANDRIA,6187.7085,100,38.807861,-77.083954,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
21270,Wegmans 133,14361 Newbrook Dr,,Chantilly,VA,20151,FAIRFAX,40587316,60,38.888306,-77.453728,Relaxed;Soundex,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
21491,Central Supermarket,6222 Richmond Hwy,,Alexandria,VA,22303,FAIRFAX,5908.3857,98.99408,38.782921,-77.076469,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
22043,Mom'S Organic Market 8,424 Elden St,,Herndon,VA,20170,FAIRFAX,3092.3896,100,38.967804,-77.374947,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
23713,Freshfarm Oakton Farmers Market N/A,2854 Hunter Mill Rd,,Oakton,VA,22124,FAIRFAX,2960.5146,100,38.888615,-77.303307,Exact,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
25736,"Mi Tierra Mercado Latino, Inc.",6531F Little River Tpke,,Alexandria,VA,22312,FAIRFAX,4805.3203,93.633133,38.821224,-77.159172,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
26484,Trader Joes 640,1109 N Highland St,,Arlington,VA,22201,ARLINGTON,2191.7957,100,38.886417,-77.094772,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
26615,Asia Halal Supermarket,5171 Lee Hwy,,Arlington,VA,22207,ARLINGTON,2746.7603,100,38.896423,-77.132843,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
28610,Safeway  1847,5980 Kingstowne Towne Ctr,,Alexandria,VA,22315,FAIRFAX,14570874,60,38.784481,-77.125198,Relaxed;Soundex,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
30011,Engocha Llc,3823A S George Mason Dr,,Falls Church,VA,22041,FAIRFAX,3381.7952,98.99408,38.841507,-77.119957,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
30726,"H Mart Centreville, Llc",13818 Braddock Rd,,Centreville,VA,20121,FAIRFAX,16744.846,100,38.835445,-77.426369,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
31356,Costco Wholesale 1115,7940 Richmond Hwy,,Alexandria,VA,22306,FAIRFAX,48914.824,96,38.742035,-77.087769,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
31765,La Latina,7010 Commerce St,,Springfield,VA,22150,FAIRFAX,6761.4468,100,38.782806,-77.187904,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
32219,La Latina Market,5838 N Kings Hwy,Ste C,Alexandria,VA,22303,FAIRFAX,9647.1904,96,38.789913,-77.07695,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
33352,Lidl 1446,6548 Little River Tpke,,Alexandria,VA,22312,FAIRFAX,4082.1331,98.99408,38.82235,-77.161873,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
34445,Miragold International Foods Inc.,710 Elden St,,Herndon,VA,20170,FAIRFAX,2544.6958,100,38.969791,-77.385612,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
34453,Giant Food 744,5740 Union Mill Rd,,Clifton,VA,20124,FAIRFAX,5709.2139,98.99408,38.834137,-77.411636,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
34990,Safeway  1428,299 S Van Dorn St,,Alexandria,VA,22304,ALEXANDRIA,2414.8389,100,38.811241,-77.131889,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
36645,Community Foodworks Chantilly Farmers Market,3460 Centreville Road,,Chantilly,VA,20151,FAIRFAX,4270.666,98.99408,38.906334,-77.423019,Relaxed,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
37497,Walmart 5969,4368 Chantilly Shopping Center Dr,,Chantilly,VA,20151,FAIRFAX,2180.1804,97.04142,38.887592,-77.444565,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
38291,La Feria Latina,3842 Mount Vernon Ave,,Alexandria,VA,22305,ALEXANDRIA,7954.48,100,38.840191,-77.062965,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
39508,Brook Market,2522 Columbia Pike,,Arlington,VA,22204,ARLINGTON,2117.2656,97.928993,38.863159,-77.084305,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,0,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer without fresh produce
42019,El Latino & African Market 1,4611 Columbia Pike,,Arlington,VA,22204,ARLINGTON,897.84906,99,38.857506,-77.107147,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
43445,Community Foodworks Tysons Farmers Market,8400 Westpark Drive,,Mclean,VA,22102,FAIRFAX,18003.406,100,38.925583,-77.234673,Exact,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
43559,Pho Supplies Inc,3435 Carlin Springs Rd,,Falls Church,VA,22041,FAIRFAX,30694.705,98.99408,38.851654,-77.122528,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
44298,Bismillah Groceries & Halal Meat,14513 Lee Jackson Memorial Hwy,Ste G,Chantilly,VA,20151,FAIRFAX,3427.6787,100,38.901169,-77.448982,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
44760,New A1 Grocery,2919 Arlington Dr,,Alexandria,VA,22306,FAIRFAX,4633.8403,98.99408,38.754578,-77.081261,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
45600,Vietnam Supermarket,6609 Wilson Blvd,,Falls Church,VA,22044,FAIRFAX,4785.0713,100,38.873486,-77.150246,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
48638,Megamart Express,5001 Columbia Pike,,Arlington,VA,22204,ARLINGTON,1940.9834,100,38.855824,-77.112625,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
49349,Aldi 27,8256 Richmond Hwy,,Alexandria,VA,22309,FAIRFAX,4257.6909,98.99408,38.733791,-77.099152,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
51109,Alexandria Old Town Farmers' Market,301 King St,,Alexandria,VA,22314,ALEXANDRIA,2208.9932,100,38.804596,-77.042542,Exact,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
51163,Columbia Pike Farmers Market,2820 Columbia Pike,,Arlington,VA,22204,ARLINGTON,4283.5166,99,38.862133,-77.086594,Relaxed,SNAP-retailer,1,,,Farmer's market,,,,,,,,,,,,,,,,,1,,,,,,,,,Farmer's market,SNAP-retailer with fresh produce
51755,Amigos Deli & Supermarket,8723 Cooper Rd,,Alexandria,VA,22309,FAIRFAX,8429.3076,98.99408,38.719975,-77.124252,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
51775,Global Food Alexandria Inc,1476 N Beauregard St,,Alexandria,VA,22311,ALEXANDRIA,5280.4458,100,38.830856,-77.124832,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
52684,Food Star,206 W Glebe Rd,,Alexandria,VA,22305,ALEXANDRIA,10195.689,100,38.836597,-77.061584,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
55196,Target 2790,2905 District Ave S,Ste 400,Fairfax,VA,22031,FAIRFAX,6015.0244,97.810654,38.872074,-77.229805,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
56043,Skyline Butcher Shop,3823 S George Mason Dr,Unit E,Falls Church,VA,22041,FAIRFAX,3381.7952,98.99408,38.841507,-77.119957,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
56141,"Fresh World Herndon, Inc.",1070 Elden St,,Herndon,VA,20170,FAIRFAX,8520.7129,100,38.965996,-77.396904,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
56218,The Fresh Market 124,150 Branch Rd SE,,Vienna,VA,22180,FAIRFAX,16252.183,93.633133,38.906113,-77.257019,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
56551,Gilgamesh 426,6430 Brandon Ave,,Springfield,VA,22150,FAIRFAX,9348.6943,100,38.780006,-77.183212,Exact,SNAP-retailer,1,,,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,Misc,
56915,Aldi 53,13920A Lee Jackson Memorial Hwy,,Chantilly,VA,20151,FAIRFAX,8740.9287,100,38.892815,-77.427811,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
57674,Halalco Supermarket,5912 Leesburg Pike,,Falls Church,VA,22041,FAIRFAX,3886.5981,98.99408,38.853985,-77.135712,Relaxed,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
59615,Kare Baltena International Market,503 S Pickett St,,Alexandria,VA,22304,ALEXANDRIA,5440.0254,100,38.807247,-77.129097,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
59866,Giant Food 747,1450 Northpoint Village Ctr,,Reston,VA,20194,FAIRFAX,8320069,60,38.98024,-77.339943,Relaxed;Soundex,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
60182,Safeway  1417,9881 Georgetown Pike,,Great Falls,VA,22066,FAIRFAX,4734.1333,100,38.99786,-77.287941,Exact,SNAP-retailer,1,,,Supermarket/Grocery Store,,,,,,,,,,,,,,,,,1,,,,,,,,,Supermarket/Grocery Store,SNAP-retailer with fresh produce
